geohash,logradouro,numero,cep
6gmnbjdrude,Rua Graciette Salmon,274,81580-420
6gmnbp71yr3,Avenida Comendador Franco,7329,81560-000
6gmnbpdefj6,Rua Augusto Zibarth,695,81560-360
6gmnbpptn78,Rua Aviador Armin Buhrer,553,81560-540
6gmnbppvd4f,Rua Aviador Armin Buhrer,567,81560-540
6gmnbpr9zh8,Rua Sargento Luiz G Martins Ribas,335,81560-530
6gmnbr2nuw9,Rua Nicodemus Zeglin,60,81590-500
6gmnbruj6ft,Rua Olindo Caetani,1070,81590-510
6gmp015gq4m,Rua Doutor Gabriel Ferreira Filho,270,81560-350
6gmp01cs740,Rua Capitão Leonidas Marques,1539,81530-310
6gmp025b56b,Rua Cabo Cornélio de Souza Martins,51,81590-400
6gmp04q3nch,Rua Doutor Gabriel Ferreira Filho,180,81550-220
6gmp05rkmvq,Rua Filipinas,712,82960-180
6gmp072ykmd,Rua Engenheiro Benedito Mário da Silva,361,82970-000
6gmp0h6jzsz,Rua Miguel Caluf,2966,82940-110
6gmp0q97cvz,Rua Roraima,1790,82930-000
6gmp21bg1hz,Rua Professor Nivaldo Braga,1571,82900-090
6gmp25n8njf,Rua Doutor Dante Romanó,120,82821-016
6gmp262m1qf,Avenida Victor Ferreira do Amaral,4518,82810-350
6gmp2jc8pzb,Rua Santa Madalena Sofia Barat,725,82820-490
6gmp2pbz458,Rua Professora Camem Lima de Almeida,271,81550-310
6gmp2r27yt8,Rua Rio Iriri,355,82840-310
6gmp2r28t2n,Rua Sebastião Alves Ferreira,1164,82840-160
6gmp809nez2,Rua José Mazepa,51,82600-570
6gmp80rzmqf,Rua Alberico Flores Bueno,525,82840-170
6gmp819ryyf,Rua São Sebastião Bunik,180,82600-180
6gmp81ztkbm,Rua Hilário Moro,526,82600-030
6gmp834cpzc,Rua Rio Japurá,648,82840-220
